Sample	Plasmid_PPI	Chrom_PPI	Fraction
Loktanella_cinnabarina_LL-001_	54649	4496	0.924
Loktanella_hongkongensis_DSM_17492_	41661	3203	0.929
Loktanella_vestfoldensis_SKA53_	39370	1284	0.968
Longispora_albida_DSM_44784_	0	79574	0.000
Lonsdalea_quercina_subsp._quercina_	54348	3715	0.936
Luminiphilus_syltensis_NOR5-1B_	42446	1038	0.976
Luteibacter_sp._9135_	0	57871	0.000
Luteibacter_sp._9143_	0	59048	0.000
Luteimonas_huabeiensis_HB2_	0	57862	0.000
Luteimonas_sp._J29_	0	47646	0.000
Lutibaculum_baratangense_AMV1_	60534	6103	0.908
Lyngbya_sp._PCC_8106_	101378	16913	0.857
Lysinibacillus_fusiformis_ZC1_	47691	8353	0.851
Lysinibacillus_manganicus_DSM_26584_	50152	2905	0.945
Lysinibacillus_massiliensis_4400831_=_CIP_108448_=_CCUG_49529_	52198	3117	0.944
Lysinibacillus_odysseyi_34hs-1_=_NBRC_100172_	53821	3977	0.931
Lysinibacillus_sinduriensis_BLB-1_=_JCM_15800_	53187	2885	0.949
Lysinibacillus_sp._BF-4_	38805	1338	0.967
Lysinibacillus_sphaericus_OT4b.31_	67444	6058	0.918
Lysinibacillus_varians_	48011	8732	0.846
Lysinimicrobium_mangrovi_	38097	2304	0.943
Lysobacter_antibioticus_	39420	4936	0.889
Lysobacter_arseniciresistens_ZS79_	33612	1405	0.960
Lysobacter_concretionis_Ko07_=_DSM_16239_	32187	1296	0.961
Lysobacter_daejeonensis_GH1-9_	33495	1622	0.954
Lysobacter_defluvii_IMMIB_APB-9_=_DSM_18482_	34480	1456	0.959
Lysobacter_dokdonensis_DS-58_	38558	3793	0.910
Macrococcus_caseolyticus_JCSC5402_	24891	852	0.967
Magnetococcus_marinus_MC-1_	49340	8760	0.849
Magnetospirillum_gryphiswaldense_MSR-1_v2_	74797	3413	0.956
Magnetospirillum_sp._SO-1_	141533	7422	0.950
Mahella_australiensis_50-1_BON_	34211	8707	0.797
Mangrovibacter_sp._MFB070_	85713	3012	0.966
Mangrovimonas_yunxiaonensis_	33353	3242	0.911
Mannheimia_haemolytica_M42548_	38338	1223	0.969
Mannheimia_haemolytica_serotype_A2_str._BOVINE_	28227	2848	0.908
Mannheimia_succiniciproducens_MBEL55E_	28883	713	0.976
Mannheimia_varigena_USDA-ARS-USMARC-1261_	25257	2273	0.917
Mannheimia_varigena_USDA-ARS-USMARC-1296_	25988	980	0.964
Maribacter_forsetii_DSM_18668_	0	48147	0.000
Maribacter_sp._Hel_I_7_	0	53080	0.000
Maribacter_sp._HTCC2170_	33197	9921	0.770
Maricaulis_maris_MCS10_	33104	5286	0.862
Maricaulis_sp._JL2009_	0	41236	0.000
Marichromatium_purpuratum_984_	41199	4450	0.903
marine_actinobacterium_PHSC20C1_	30966	3041	0.911
marine_gamma_proteobacterium_HTCC2080_	45706	3001	0.938
marine_gamma_proteobacterium_HTCC2143_	48800	3934	0.925
marine_gamma_proteobacterium_HTCC2148_	63484	2192	0.967
Marinilabilia_salmonicolor_JCM_21150_	0	55115	0.000
Marinimicrobium_agarilyticum_DSM_16975_	0	64372	0.000
Mariniradius_saccharolyticus_AK6_	43487	7310	0.856
Marinithermus_hydrothermalis_DSM_14884_	30884	1932	0.941
Marinitoga_piezophila_KA3_	30357	1937	0.940
Marinobacter_adhaerens_HP15_	51328	5829	0.898
Marinobacter_algicola_DG893_	75604	4778	0.941
Marinobacter_daepoensis_DSM_16072_	0	59638	0.000
Marinobacter_hydrocarbonoclasticus_VT8_	50148	7776	0.866
Marinobacterium_litorale_DSM_23545_	0	80091	0.000
Marinobacterium_sp._AK27_	73184	5686	0.928
Marinobacterium_stanieri_S30_	78663	4382	0.947
Marinobacter_lipolyticus_BF04_CF-4_	0	47163	0.000
Marinobacter_lipolyticus_SM19_	64277	3075	0.954
Marinobacter_nanhaiticus_D15-8W_	90979	4407	0.954
Marinobacter_santoriniensis_NKSG1_	72573	2464	0.967
Marinobacter_sp._ELB17_	76680	6548	0.921
Marinobacter_sp._ES-1_	45213	2909	0.940
Marinobacter_sp._HL-58_	73473	492	0.993
Marinobacter_sp._MCTG268_	0	79115	0.000
Marinomonas_mediterranea_MMB-1_	48035	6729	0.877
Marinomonas_posidonica_IVIA-Po-181_	40772	4999	0.891
Marinomonas_sp._D104_	63999	2694	0.960
Marinomonas_sp._MWYL1_	57707	8278	0.875
Marinomonas_ushuaiensis_DSM_15871_	50676	1863	0.965
Marinospirillum_insulare_DSM_21763_	0	53159	0.000
Marinospirillum_minutulum_DSM_6287_	0	52709	0.000
Mariprofundus_ferrooxydans_PV-1_	37714	3512	0.915
Maritimibacter_alkaliphilus_HTCC2654_	63292	8880	0.877
Marivirga_tractuosa_DSM_4126_	35166	7971	0.815
Marmoricola_aequoreus_	0	59557	0.000
Marmoricola_sp._URHB0036_	0	68090	0.000
Martelella_mediterranea_DSM_17316_	55872	3600	0.939
Marvinbryantia_formatexigens_DSM_14469_	49858	9057	0.846
Massilia_consociata_	63173	9964	0.864
Massilia_sp._9096_	0	100417	0.000
Massilia_sp._LC238_	106616	2682	0.975
Massilia_timonae_CCUG_45783_	100517	8655	0.921
Mastigocladopsis_repens_PCC_10914_	0	94352	0.000
Megamonas_hypermegale_DSM_1672_	32273	347	0.989
Megamonas_rupellensis_DSM_19944_	0	35339	0.000
Meganema_perideroedes_DSM_15528_	0	45127	0.000
Megasphaera_elsdenii_DSM_20460_	27134	2356	0.920
Megasphaera_genomosp._type_1_str._28L_	24706	692	0.973
Megasphaera_micronuciformis_F0359_	29317	961	0.968
Megasphaera_sp._BV3C16-1_	33177	1128	0.967
Megasphaera_sp._NM10_	35509	3139	0.919
Megasphaera_sp._NP3_	0	36836	0.000
Megasphaera_sp._UPII_135-E_	24163	775	0.969
Meiothermus_cerbereus_DSM_11376_	0	39916	0.000
Meiothermus_chliarophilus_DSM_9957_	0	67396	0.000
Meiothermus_ruber_DSM_1279_	34762	6072	0.851
Meiothermus_rufus_DSM_22234_	0	39039	0.000
Meiothermus_silvanus_DSM_9946_	28993	6800	0.810
Meiothermus_taiwanensis_DSM_14542_	34317	3534	0.907
Meiothermus_timidus_DSM_17022_	0	40786	0.000
Melioribacter_roseus_P3M-2_	39150	5391	0.879
Mesoaciditoga_lauensis_cd-1655R_=_DSM_25116_	0	32259	0.000
Mesoflavibacter_zeaxanthinifaciens_DSM_18436_	0	40638	0.000
Mesoflavibacter_zeaxanthinifaciens_S86_	0	47005	0.000
Mesonia_mobilis_DSM_19841_	0	45372	0.000
Mesoplasma_florum_L1_	14900	196	0.987
Mesorhizobium_amorphae_CCNWGS0123_	64573	17364	0.788
Mesorhizobium_australicum_WSM2073_	55718	13259	0.808
Mesorhizobium_ciceri_biovar_biserrulae_WSM1271_	60484	17735	0.773
Mesorhizobium_loti_CJ3sym_	110216	13596	0.890
Mesorhizobium_loti_R88b_	108160	12403	0.897
Mesorhizobium_loti_USDA_3471_	111524	11200	0.909
Mesorhizobium_metallidurans_STM_2683_	89688	4446	0.953
Mesorhizobium_opportunistum_WSM2075_	61728	17626	0.778
Mesorhizobium_sp._L2C084A000_	98860	9772	0.910
Mesorhizobium_sp._LNJC398B00_	69903	18220	0.793
Mesorhizobium_sp._NBIMC_P2-C3_	0	87835	0.000
Mesorhizobium_sp._STM_4661_	94318	4918	0.950
Mesorhizobium_sp._URHA0056_	0	99238	0.000
Mesorhizobium_sp._URHC0008_	0	126726	0.000
Mesorhizobium_sp._WSM3224_	0	114660	0.000
Mesorhizobium_sp._WSM3626_	0	103434	0.000
Mesotoga_prima_MesG1.Ag.4.2_	24157	4763	0.835
Metascardovia_criceti_DSM_17774_	0	21070	0.000
Methylacidiphilum_fumariolicum_SolV_	29635	472	0.984
Methylacidiphilum_infernorum_V4_	24787	891	0.965
Methylibium_petroleiphilum_PM1_	54404	5599	0.907
Methylobacillus_flagellatus_KT_	35183	3820	0.902
Methylobacillus_glycogenes_JCM_2850_	0	57442	0.000
Methylobacterium_extorquens_AM1_	64365	6844	0.904
Methylobacterium_extorquens_PA1_	60210	11899	0.835
Methylobacterium_nodulans_ORS_2060_	67712	17920	0.791
Methylobacterium_oryzae_CBMB20_	73543	4162	0.946
Methylobacterium_populi_BJ001_	55965	11375	0.831
Methylobacterium_radiotolerans_JCM_2831_	70703	15554	0.820
Methylobacterium_sp._10_	0	69412	0.000
Methylobacterium_sp._4-46_	84627	18987	0.817
Methylobacterium_sp._77_	0	64689	0.000
Methylobacterium_sp._88A_	0	67879	0.000
Methylobacterium_sp._GXF4_	100973	7465	0.931
Methylobacterium_sp._MB200_	0	97495	0.000
Methylobacter_tundripaludum_SV96_	76674	4896	0.940
Methylocapsa_acidiphila_B2_	0	47327	0.000
Methylocapsa_aurea_	0	52852	0.000
Methylocella_silvestris_BL2_	44306	5002	0.899
Methylococcus_capsulatus_str._Bath_	33409	3663	0.901
Methylocystis_parvus_OBBP_	0	64134	0.000
Methylocystis_sp._ATCC_49242_	0	66347	0.000
Methylocystis_sp._SB2_	0	57216	0.000
Methylocystis_sp._SC2_	36712	3943	0.903
Methyloferula_stellata_AR4_	0	67727	0.000
Methyloglobulus_morosus_KoM1_	52678	1072	0.980
Methylohalobius_crimeensis_10Ki_	0	50955	0.000
Methylomicrobium_album_BG8_	53961	3571	0.938
Methylomonas_methanica_MC09_	53822	6750	0.889
Methylophaga_aminisulfidivorans_MP_	49888	3016	0.943
Methylophaga_frappieri_	31016	4108	0.883
Methylophaga_lonarensis_MPL_	44231	1549	0.966
Methylophaga_nitratireducenticrescens_	36688	3100	0.922
Methylophilaceae_bacterium_11_	47145	2485	0.950
Methylophilus_methylotrophus_DSM_46235_=_ATCC_53528_	0	44919	0.000
Methylophilus_sp._5_	0	43030	0.000
Methylophilus_sp._OH31_	0	43992	0.000
Methylopila_sp._73B_	0	67017	0.000
Methylopila_sp._M107_	0	55594	0.000
Methylosinus_sp._LW3_	0	75851	0.000
Methylosinus_sp._LW4_	0	65796	0.000
Methylosinus_sp._PW1_	0	65168	0.000
Methylosinus_trichosporium_OB3b_	44407	8799	0.835
Methylotenera_mobilis_13_	0	43976	0.000
Methylotenera_mobilis_JLW8_	27771	2528	0.917
Methylotenera_sp._73s_	0	40465	0.000
Methylotenera_sp._L2L1_	0	41647	0.000
Methylotenera_versatilis_301_	35821	3642	0.908
Methyloversatilis_universalis_FAM5_	62903	5597	0.918
Methylovorus_glucosetrophus_SIP3-4_	35110	3686	0.905
Micavibrio_aeruginosavorus_ARL-13_	26698	1125	0.960
Microbacterium_gubbeenense_DSM_15944_	0	33280	0.000
Microbacterium_indicum_DSM_19969_	0	34704	0.000
Microbacterium_luticocti_DSM_19459_	0	36396	0.000
Microbacterium_oleivorans_	36269	2111	0.945
Microbacterium_paraoxydans_77MFTsu3.2_	28618	13165	0.685
Microbacterium_paraoxydans_DH1b_	37589	4627	0.890
Microbacterium_profundi_	0	39489	0.000
Microbacterium_sp._292MF_	0	48598	0.000
Microbacterium_sp._C448_	35970	1811	0.952
Microbacterium_sp._Cr-K20_	0	50012	0.000
Microbacterium_sp._Cr-K32_	0	46123	0.000
Microbacterium_sp._KROCY2_	0	33810	0.000
Microbacterium_sp._MRS-1_	34860	2520	0.933
Microbacterium_sp._UNCCL10_	0	38820	0.000
Microbacterium_sp._URHA0036_	0	48358	0.000
Microbacterium_testaceum_StLB037_	32853	5108	0.865
Microbacterium_yannicii_PS01_	0	45840	0.000
Microbulbifer_agarilyticus_S89_	26874	5408	0.832
Microbulbifer_sp._HZ11_	0	50252	0.000
Microbulbifer_variabilis_ATCC_700307_	0	46649	0.000
Microchaete_sp._PCC_7126_	0	78578	0.000
Micrococcus_luteus_NCTC_2665_	26567	2283	0.921
Microcoleus_sp._PCC_7113_	59291	18433	0.763
Microcoleus_vaginatus_FGP-2_	102248	14677	0.874
Microcystis_aeruginosa_NIES-843_	48084	11304	0.810
Microlunatus_phosphovorus_NM-1_	47511	7926	0.857
Micromonospora_aurantiaca_ATCC_27029_	49349	17008	0.744
Micromonospora_chokoriensis_	77782	14114	0.846
Micromonospora_lupini_str._Lupac_08_	91390	8134	0.918
Micromonospora_parva_	0	93934	0.000
Micromonospora_sp._ATCC_39149_	77565	16001	0.829
Microscilla_marina_ATCC_23134_	65827	30581	0.683
Microtetraspora_glauca_	0	110946	0.000
Microvirga_aerilata_	60660	14369	0.808
Microvirga_flocculans_ATCC_BAA-817_	0	58400	0.000
Microvirga_lotononidis_	102880	19439	0.841
Microvirga_lupini_	0	201662	0.000
Mitsuokella_jalaludinii_DSM_13811_	31790	225	0.993
Mitsuokella_multacida_DSM_20544_	40214	1172	0.972
Mitsuokella_sp._oral_taxon_131_str._W9106_	40551	1629	0.961
Mobilicoccus_pelagius_NBRC_104925_	49231	1254	0.975
Mobiluncus_curtisii_ATCC_43063_	23625	1226	0.951
Mobiluncus_curtisii_subsp._curtisii_ATCC_35241_	34711	420	0.988
Mobiluncus_mulieris_28-1_	41672	1099	0.974
Mobiluncus_mulieris_ATCC_35243_	36175	1259	0.966
Modestobacter_marinus_	49993	5971	0.893
Mogibacterium_sp._CM50_	21644	1591	0.932
Moorea_producens_3L_	81210	20881	0.795
Moorella_thermoacetica_ATCC_39073_	34351	2694	0.927
Moraxella_boevrei_DSM_14165_	0	28938	0.000
Moraxella_bovoculi_237_	20437	751	0.965
Moraxella_caprae_DSM_19149_	0	34464	0.000
Moraxella_catarrhalis_O35E_	24035	248	0.990
Moraxella_macacae_0408225_	25107	814	0.969
Morganella_morganii_subsp._morganii_KT_	43877	4932	0.899
Moritella_dasanensis_ArB_0140_	0	78515	0.000
Moritella_marina_ATCC_15381_	0	75847	0.000
Mucilaginibacter_paludis_DSM_18603_	77359	35180	0.687
Mucispirillum_schaedleri_ASF457_	30472	1253	0.961
Muricauda_ruestringensis_DSM_13258_	32697	10121	0.764
Muricauda_sp._MAR_2010_75_	0	56003	0.000
Mycetocola_saprophilus_	0	36050	0.000
Mycobacterium_abscessus_	73378	8022	0.901
Mycobacterium_aromaticivorans_JS19b1_=_JCM_16368_	99816	11071	0.900
Mycobacterium_asiaticum_DSM_44297_	96709	13306	0.879
Mycobacterium_avium_subsp._avium_	72139	14350	0.834
Mycobacterium_avium_subsp._paratuberculosis_K-10_	60667	6074	0.909
Mycobacterium_chubuense_NBB4_	71266	10743	0.869
Mycobacterium_colombiense_CECT_3035_	98616	12472	0.888
Mycobacterium_cosmeticum_	120861	5751	0.955
Mycobacterium_genavense_ATCC_51234_	0	103000	0.000
Mycobacterium_gilvum_PYR-GCK_	61845	13702	0.819
Mycobacterium_hassiacum_DSM_44199_	96723	7434	0.929
Mycobacterium_intracellulare_ATCC_13950_	65567	18440	0.780
Mycobacterium_iranicum_UM_TJL_	96263	9160	0.913
Mycobacterium_kansasii_732_	119657	7807	0.939
Mycobacterium_kansasii_ATCC_12478_	74735	11182	0.870
Mycobacterium_leprae_TN_	21491	511	0.977
Mycobacterium_mageritense_DSM_44476_	149484	9236	0.942
Mycobacterium_marinum_M_	79789	5495	0.936
Mycobacterium_neoaurum_VKM_Ac-1815D_	59453	7458	0.889
Mycobacterium_parascrofulaceum_ATCC_BAA-614_	118920	5423	0.956
Mycobacterium_phlei_RIVM601174_	71964	4982	0.935
Mycobacterium_rhodesiae_JS60_	137247	24227	0.850
Mycobacterium_rhodesiae_NBB3_	63747	33255	0.657
Mycobacterium_rufum_	94821	7315	0.928
Mycobacterium_septicum_DSM_44393_	0	123006	0.000
Mycobacterium_smegmatis_JS623_	68073	32800	0.675
Mycobacterium_smegmatis_str._MC2_155_	103502	8335	0.925
Mycobacterium_sp._141_	0	68971	0.000
Mycobacterium_sp._155_	0	69485	0.000
Mycobacterium_sp._360MFTsu5.1_	0	107264	0.000
Mycobacterium_sp._JDM601_	76606	10537	0.879
Mycobacterium_sp._JLS_	0	84284	0.000
Mycobacterium_sp._UM_WGJ_	0	80456	0.000
Mycobacterium_sp._UM_WWY_	0	136037	0.000
Mycobacterium_sp._UNC280MFTsu5.1_	0	103364	0.000
Mycobacterium_sp._URHB0044_	0	157042	0.000
Mycobacterium_sp._URHD0025_	0	119535	0.000
Mycobacterium_thermoresistibile_ATCC_19527_	85920	12919	0.869
Mycobacterium_triplex_	124139	9250	0.931
Mycobacterium_tuberculosis_H37Ra_	56740	4375	0.928
Mycobacterium_tuberculosis_H37Rv_	93894	3344	0.966
Mycobacterium_tusciae_JS617_	107037	17275	0.861
Mycobacterium_ulcerans_Agy99_	51653	3046	0.944
Mycobacterium_vaccae_ATCC_25954_	104335	12358	0.894
Mycobacterium_vanbaalenii_PYR-1_	66125	18820	0.778
Mycobacterium_vulneris_	141430	11004	0.928
Mycoplasma_agalactiae_	10450	431	0.960
Mycoplasma_alkalescens_14918_	10542	106	0.990
Mycoplasma_alligatoris_A21JP2_	13071	202	0.985
Mycoplasma_anatis_1340_	12053	389	0.969
Mycoplasma_arginini_7264_	8111	56	0.993
Mycoplasma_arthritidis_158L3-1_	9890	140	0.986
Mycoplasma_auris_15026_	10244	169	0.984
Mycoplasma_bovigenitalium_51080_	9403	290	0.970
Mycoplasma_bovis_PG45_	9916	314	0.969
Mycoplasma_bovoculi_M165-69_	10448	104	0.990
Mycoplasma_californicum_	10093	156	0.985
Mycoplasma_canis_PG_14_	9930	291	0.972
Mycoplasma_columbinum_SF7_	8790	164	0.982
Mycoplasma_conjunctivae_	9140	310	0.967
Mycoplasma_crocodyli_MP145_	10103	109	0.989
Mycoplasma_cynos_C142_	0	9928	0.000
Mycoplasma_fermentans_PG18_	9299	724	0.928
Mycoplasma_gallisepticum_S6_	11990	226	0.981
Mycoplasma_gallisepticum_str._F_	11810	288	0.976
Mycoplasma_genitalium_G37_	12724	9	0.999
Mycoplasma_haemofelis_Ohio2_	7455	5589	0.572
Mycoplasma_hominis_ATCC_23114_	9439	115	0.988
Mycoplasma_hyopneumoniae_232_	10136	226	0.978
Mycoplasma_hyopneumoniae_J_	11099	154	0.986
Mycoplasma_hyorhinis_GDL-1_	11317	121	0.989
Mycoplasma_hyorhinis_SK76_	10644	398	0.964
Mycoplasma_iowae_695_	13157	281	0.979
Mycoplasma_leachii_PG50_	13468	436	0.969
Mycoplasma_mobile_163K_	9827	68	0.993
Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1_	12610	460	0.965
Mycoplasma_ovipneumoniae_14811_	9902	143	0.986
Mycoplasma_pneumoniae_FH_	10181	109	0.989
Mycoplasma_pulmonis_UAB_CTIP_	9635	361	0.964
Mycoplasma_putrefaciens_KS1_	11054	81	0.993
Mycoplasma_putrefaciens_Mput9231_	10957	115	0.990
Mycoplasma_sp._G5847_	15220	172	0.989
Mycoplasma_synoviae_53_	9199	217	0.977
Mycoplasma_yeatsii_13926_	12479	137	0.989
Myroides_injenensis_M09-0166_	0	40703	0.000
Myroides_odoratimimus_H1bi_	27159	5355	0.835
Myroides_odoratus_DSM_2801_	46408	9840	0.825
Myxococcus_fulvus_HW-1_	80743	21724	0.788
Myxococcus_sp._	77496	26681	0.744
Myxococcus_stipitatus_DSM_14675_	93275	24896	0.789
Myxococcus_xanthus_DK_1622_	98912	11235	0.898
Nafulsella_turpanensis_ZLM-10_	0	53474	0.000
Nakamurella_multipartita_DSM_44233_	44310	11161	0.799
Natranaerobius_thermophilus_JW-NM-WN-LF_	31479	3063	0.911
Nautilia_profundicola_AmH_	29088	501	0.983
Neisseria_cinerea_ATCC_14685_	28574	577	0.980
Neisseria_flavescens_NRL30031-H210_	31140	1132	0.965
Neisseria_flavescens_SK114_	31637	536	0.983
Neisseria_lactamica_020-06_	20845	1237	0.944
Neisseria_mucosa_ATCC_25996_	31168	1991	0.940
Neisseria_mucosa_C102_	31277	782	0.976
Neisseria_polysaccharea_ATCC_43768_	28518	1510	0.950
Neisseria_sicca_ATCC_29256_	23710	2974	0.889
Neisseria_sp._oral_taxon_014_str._F0314_	30365	940	0.970
Neisseria_subflava_NJ9703_	33215	1454	0.958
Neisseria_weaveri_LMG_5135_	19580	1941	0.910
Neorhizobium_galegae_bv._officinalis_bv._officinalis_str._HAMBI_1141_	68663	7214	0.905
Neorhizobium_galegae_bv._orientalis_str._HAMBI_540_	66048	11021	0.857
Neorickettsia_risticii_str._Illinois_	12484	157	0.988
Neorickettsia_sennetsu_str._Miyayama_	12458	131	0.990
Neptuniibacter_caesariensis_	71024	4960	0.935
Neptunomonas_japonica_DSM_18939_	0	77070	0.000
Nesterenkonia_alba_DSM_19423_	0	30426	0.000
Nesterenkonia_sp._F_	0	34309	0.000
Nesterenkonia_sp._NP1_	0	32645	0.000
Nevskia_ramosa_DSM_11499_	0	62126	0.000
Nevskia_soli_DSM_19509_	0	80651	0.000
Niabella_aurantiaca_DSM_17617_	0	55786	0.000
Niabella_soli_DSM_19437_	29229	7985	0.785
Niastella_koreensis_GR20-10_	64966	40427	0.616
Nitratifractor_salsuginis_DSM_16511_	26762	2565	0.913
Nitratireductor_aquibiodomus_NL21_=_JCM_21793_	0	88685	0.000
Nitratireductor_basaltis_	49976	4620	0.915
Nitratireductor_indicus_C115_	70003	12310	0.850
Nitratireductor_pacificus_pht-3B_	62127	8812	0.876
Nitratiruptor_sp._SB155-2_	30847	994	0.969
Nitrobacter_hamburgensis_X14_	45417	14724	0.755
Nitrobacter_winogradskyi_Nb-255_	31899	4828	0.869
Nitrococcus_mobilis_Nb-231_	41116	4151	0.908
Nitrosococcus_halophilus_Nc_4_	44497	5367	0.892
Nitrosococcus_oceani_ATCC_19707_	39485	6395	0.861
Nitrosococcus_watsonii_C-113_	35468	3825	0.903
Nitrosomonas_cryotolerans_ATCC_49181_	36621	1356	0.964
Nitrosomonas_europaea_ATCC_19718_	29640	1439	0.954
Nitrosomonas_eutropha_C91_	30370	3984	0.884
Nitrosomonas_sp._AL212_	25076	3243	0.885
Nitrosomonas_sp._Is79A3_	34526	3721	0.903
Nitrosospira_briensis_C-128_	46048	4283	0.915
Nitrosospira_multiformis_ATCC_25196_	35991	4596	0.887
Nitrosospira_sp._APG3_	30410	2221	0.932
Nitrospina_sp._AB-629-B18_	0	41676	0.000
Nocardia_aobensis_NBRC_100429_	0	123675	0.000
Nocardia_asteroides_NBRC_15531_	96274	7279	0.930
Nocardia_brasiliensis_ATCC_700358_	81325	24397	0.769
Nocardia_brevicatena_NBRC_12119_	0	111694	0.000
Nocardia_carnea_NBRC_14403_	0	119517	0.000
Nocardia_concava_NBRC_100430_	0	139353	0.000
Nocardia_cyriacigeorgica_GUH-2_	76728	13152	0.854
Nocardia_exalbida_NBRC_100660_	0	111906	0.000
Nocardia_farcinica_IFM_10152_	67019	10143	0.869
Nocardia_higoensis_NBRC_100133_	0	139428	0.000
Nocardia_jiangxiensis_NBRC_101359_	0	243047	0.000
Nocardia_niigatensis_NBRC_100131_	0	134653	0.000
Nocardia_nova_SH22a_	118508	19160	0.861
Nocardia_otitidiscaviarum_NBRC_14405_	0	118515	0.000
Nocardia_pneumoniae_NBRC_100136_	0	108114	0.000
Nocardia_rhamnosiphila_	0	124496	0.000
Nocardia_sp._348MFTsu5.1_	0	98280	0.000
Nocardia_sp._BMG111209_	0	142128	0.000
Nocardia_sp._BMG51109_	0	136361	0.000
Nocardia_sp._CNY236_	0	73394	0.000
Nocardia_takedensis_NBRC_100417_	0	120929	0.000
Nocardia_testacea_NBRC_100365_	0	111924	0.000
Nocardia_transvalensis_NBRC_15921_	0	138319	0.000
Nocardia_veterana_NBRC_100344_	0	94544	0.000
Nocardioidaceae_bacterium_Broad-1_	70428	10857	0.866
Nocardioides_halotolerans_DSM_19273_	0	63936	0.000
Nocardioides_sp._CF8_	58095	4237	0.932
Nocardioides_sp._Iso805N_	0	58497	0.000
Nocardioides_sp._J54_	0	73748	0.000
Nocardioides_sp._JS614_	49712	12429	0.800
Nocardiopsis_alba_ATCC_BAA-2165_	41715	10007	0.807
Nocardiopsis_baichengensis_YIM_90130_	0	76735	0.000
Nocardiopsis_dassonvillei_subsp._dassonvillei_DSM_43111_	46809	17556	0.727
Nocardiopsis_ganjiahuensis_DSM_45031_	0	83957	0.000
Nocardiopsis_kunsanensis_DSM_44524_	0	58754	0.000
Nocardiopsis_potens_DSM_45234_	0	84770	0.000
Nocardiopsis_prasina_DSM_43845_	0	75358	0.000
Nocardiopsis_sp._CNT312_	0	55852	0.000
Nocardiopsis_valliformis_DSM_45023_	0	80350	0.000
Nocardiopsis_xinjiangensis_YIM_90004_	0	62824	0.000
Nodosilinea_nodulosa_PCC_7104_	0	115440	0.000
Nodularia_spumigena_CCY9414_	64304	9111	0.876
Nonlabens_dokdonensis_DSW-6_	29604	4049	0.880
Nonlabens_sediminis_	24198	6784	0.781
Nonlabens_ulvanivorans_	56757	11300	0.834
Nonomuraea_coxensis_DSM_45129_	0	153000	0.000
Nosocomiicoccus_sp._NP2_	0	28510	0.000
'Nostoc_azollae'_0708_	31147	5580	0.848
Nostoc_punctiforme_PCC_73102_	63781	17692	0.783
Nostoc_sp._PCC_7107_	45794	13311	0.775
Nostoc_sp._PCC_7524_	50143	13378	0.789
Novispirillum_itersonii_subsp._itersonii_ATCC_12639_	0	71128	0.000
Novosphingobium_acidiphilum_DSM_19966_	0	51016	0.000
Novosphingobium_aromaticivorans_DSM_12444_	32499	9945	0.766
Novosphingobium_lindaniclasticum_LE124_	70558	7227	0.907
Novosphingobium_nitrogenifigens_DSM_19370_	53872	4527	0.922
Novosphingobium_pentaromativorans_US6-1_	47376	9659	0.831
Novosphingobium_resinovorum_	65780	15709	0.807
Novosphingobium_sp._AP12_	72005	10567	0.872
Novosphingobium_sp._PP1Y_	40876	13243	0.755
Novosphingobium_sp._Rr_2-17_	57033	5831	0.907
Novosphingobium_tardaugens_NBRC_16725_	59377	5509	0.915
Oceanibaculum_indicum_P24_	58223	5270	0.917
Oceanibulbus_indolifex_HEL-45_	73824	6865	0.915
Oceanicaulis_alexandrii_DSM_11625_	0	44804	0.000
Oceanicaulis_sp._HL-87_	0	36471	0.000
Oceanicaulis_sp._HTCC2633_	44791	4102	0.916
Oceanicola_batsensis_HTCC2597_	52578	5428	0.906
Oceanicola_granulosus_HTCC2516_	62305	5248	0.922
Oceanicola_nanhaiensis_DSM_18065_	0	76331	0.000
Oceanicola_sp._22II-S11g_	78801	8781	0.900
Oceanicola_sp._HL-35_	0	65471	0.000
Oceanicola_sp._MCTG156	0	60937	0.000
Oceanimonas_smirnovii_ATCC_BAA-899_	0	59874	0.000
Oceanimonas_sp._GK1_	49972	2287	0.956
Oceaniovalibus_guishaninsula_JLT2003_	47443	3523	0.931
Oceanithermus_profundus_DSM_14977_	33188	2215	0.937
Oceanobacillus_kimchii_X50_	0	56518	0.000
Oceanobacillus_manasiensis_	0	58933	0.000
Oceanobacillus_massiliensis_str._N'diop_	0	53544	0.000
Oceanobacillus_picturae_	55112	1392	0.975
Oceanobacillus_sp._S5_	0	78079	0.000
Ochrobactrum_anthropi_ATCC_49188_	43233	8885	0.830
Ochrobactrum_rhizosphaerae_SJY1_	65567	11692	0.849
Octadecabacter_antarcticus_307_	44206	4078	0.916
Octadecabacter_arcticus_238_	48867	9311	0.840
Odoribacter_laneus_YIT_12061_	35093	5052	0.874
Odoribacter_splanchnicus_DSM_20712_	30727	14481	0.680
Oenococcus_kitaharae_DSM_17330_	27393	1164	0.959
Oenococcus_oeni_PSU-1_	17951	956	0.949
Oerskovia_turbata_	0	53006	0.000
Oligella_ureolytica_DSM_18253_	0	37921	0.000
Oligella_urethralis_DNF00040_	28173	1266	0.957
Oligotropha_carboxidovorans_OM5_	57268	2964	0.951
Olivibacter_sitiensis_DSM_17696_	0	57579	0.000
Olleya_marilimosa_CAM030_	0	47621	0.000
Olleya_sp._VCSM12_	0	40059	0.000
